"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,24.055,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,25.041,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,24.254,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,25.041,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,25.215,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,25.2,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,25.215,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,25.883,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,25.671,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,25.883,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,26.595,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q2","Q2-2013","100HAB","Per 100 inhabitants","0","Units",,,26.309,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q4","Q4-2013","100HAB","Per 100 inhabitants","0","Units",,,26.595,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014","2014","100HAB","Per 100 inhabitants","0","Units",,,27.842,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q2","Q2-2014","100HAB","Per 100 inhabitants","0","Units",,,27.438,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q4","Q4-2014","100HAB","Per 100 inhabitants","0","Units",,,27.842,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015","2015","100HAB","Per 100 inhabitants","0","Units",,,28.397,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q2","Q2-2015","100HAB","Per 100 inhabitants","0","Units",,,28.076,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q4","Q4-2015","100HAB","Per 100 inhabitants","0","Units",,,28.397,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016","2016","100HAB","Per 100 inhabitants","0","Units",,,30.483,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q2","Q2-2016","100HAB","Per 100 inhabitants","0","Units",,,30.093,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q4","Q4-2016","100HAB","Per 100 inhabitants","0","Units",,,30.483,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017","2017","100HAB","Per 100 inhabitants","0","Units",,,32.201,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q2","Q2-2017","100HAB","Per 100 inhabitants","0","Units",,,31.107,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q4","Q4-2017","100HAB","Per 100 inhabitants","0","Units",,,32.201,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018","2018","100HAB","Per 100 inhabitants","0","Units",,,30.689,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,33.16,,
"AUS","Australia","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,30.689,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,21.499,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,23.187,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,22.205,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,23.187,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,24.456,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,23.891,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,24.456,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,25.218,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q2","Q2-2012","100HAB","Per 100 inhabitants","0","Units",,,24.92,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012-Q4","Q4-2012","100HAB","Per 100 inhabitants","0","Units",,,25.218,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013","2013","100HAB","Per 100 inhabitants","0","Units",,,26.308,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q2","Q2-2013","100HAB","Per 100 inhabitants","0","Units",,,25.803,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2013-Q4","Q4-2013","100HAB","Per 100 inhabitants","0","Units",,,26.308,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014","2014","100HAB","Per 100 inhabitants","0","Units",,,27.554,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q2","Q2-2014","100HAB","Per 100 inhabitants","0","Units",,,26.924,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2014-Q4","Q4-2014","100HAB","Per 100 inhabitants","0","Units",,,27.554,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015","2015","100HAB","Per 100 inhabitants","0","Units",,,28.459,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q2","Q2-2015","100HAB","Per 100 inhabitants","0","Units",,,28.082,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2015-Q4","Q4-2015","100HAB","Per 100 inhabitants","0","Units",,,28.459,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016","2016","100HAB","Per 100 inhabitants","0","Units",,,28.87,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q2","Q2-2016","100HAB","Per 100 inhabitants","0","Units",,,28.78,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2016-Q4","Q4-2016","100HAB","Per 100 inhabitants","0","Units",,,28.87,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017","2017","100HAB","Per 100 inhabitants","0","Units",,,28.551,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q2","Q2-2017","100HAB","Per 100 inhabitants","0","Units",,,28.772,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2017-Q4","Q4-2017","100HAB","Per 100 inhabitants","0","Units",,,28.551,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018","2018","100HAB","Per 100 inhabitants","0","Units",,,28.509,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,28.419,,
"AUT","Austria","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,28.509,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2009","2009","100HAB","Per 100 inhabitants","0","Units",,,29.028,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010","2010","100HAB","Per 100 inhabitants","0","Units",,,30.958,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q2","Q2-2010","100HAB","Per 100 inhabitants","0","Units",,,30.148,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2010-Q4","Q4-2010","100HAB","Per 100 inhabitants","0","Units",,,30.958,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011","2011","100HAB","Per 100 inhabitants","0","Units",,,32.234,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q2","Q2-2011","100HAB","Per 100 inhabitants","0","Units",,,31.657,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2011-Q4","Q4-2011","100HAB","Per 100 inhabitants","0","Units",,,32.234,,
"BEL","Belgium","BB-P100-TOT","Total fixed broadband suscriptions per 100 inhabitants","2012","2012","100HAB","Per 100 inhabitants","0","Units",,,33.358,,
