"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2012","2012",139870,,
"AUS","Australia","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",164058,,
"AUS","Australia","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2012","2012",130092,,
"AUS","Australia","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",144916,,
"AUS","Australia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",595820,,
"AUS","Australia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",649993,,
"AUS","Australia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",231744.41,,
"AUS","Australia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",251246.94,,
"AUS","Australia","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.7105079,,
"AUS","Australia","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2012","2012",21.957001,,
"AUS","Australia","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",22.34,,
"AUS","Australia","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2012","2012",96.165001,,
"AUS","Australia","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",91.010002,,
"AUS","Australia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",365000,,
"AUS","Australia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",380000,,
"AUS","Australia","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2012","2012",5.5602689,,
"AUS","Australia","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",5.2275128,,
"AUS","Australia","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",17.284395,,
"AUS","Australia","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",16.535755,,
"AUS","Australia","PIH","Share of indebted households","TP","Total Population","2012","2012",72.261024,,
"AUS","Australia","PIH","Share of indebted households","TP","Total Population","2014","2014",71.765266,,
"AUS","Australia","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2012","2012",18.022154,,
"AUS","Australia","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",18.99284,,
"AUS","Australia","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",46.700001,,
"AUS","Australia","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",58,,
"AUS","Australia","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",5.6999998,,
"AUS","Australia","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",9,,
"AUS","Australia","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",13.272024,,
"AUS","Australia","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",14.997084,,
"AUS","Australia","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",44.909752,,
"AUS","Australia","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",46.465977,,
"AUS","Australia","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",32.171734,,
"AUS","Australia","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",33.513176,,
"AUT","Austria","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2011","2011",115163,,
"AUT","Austria","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",86615,,
"AUT","Austria","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2011","2011",16746,,
"AUT","Austria","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",17243,,
"AUT","Austria","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",265033,,
"AUT","Austria","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",258414,,
"AUT","Austria","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",124685.84,,
"AUT","Austria","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",120788.17,,
"AUT","Austria","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",3.4669762,,
"AUT","Austria","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",3.0078218,,
"AUT","Austria","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2011","2011",16.699999,,
"AUT","Austria","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",20.1,,
"AUT","Austria","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2011","2011",35.600002,,
"AUT","Austria","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",32.700001,,
"AUT","Austria","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",76445,,
"AUT","Austria","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",85914,,
"AUT","Austria","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2011","2011",6.6955733,,
"AUT","Austria","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",6.7647443,,
"AUT","Austria","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",6.7608242,,
"AUT","Austria","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",8.0044022,,
"AUT","Austria","PIH","Share of indebted households","TP","Total Population","2011","2011",35.598534,,
"AUT","Austria","PIH","Share of indebted households","TP","Total Population","2014","2014",34.413723,,
"AUT","Austria","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2011","2011",3.2696195,,
"AUT","Austria","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",3.3012593,,
"AUT","Austria","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2011","2011",26.640001,"D","Difference in methodology"
"AUT","Austria","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",25.049999,"D","Difference in methodology"
"AUT","Austria","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2011","2011",40.099998,"D","Difference in methodology"
"AUT","Austria","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",39.110001,"D","Difference in methodology"
"AUT","Austria","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2011","2011",14.54,"D","Difference in methodology"
"AUT","Austria","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",13.77,"D","Difference in methodology"
"AUT","Austria","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2011","2011",19.779999,"D","Difference in methodology"
"AUT","Austria","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",18.83,"D","Difference in methodology"
"AUT","Austria","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",23.569071,,
"AUT","Austria","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",25.527975,,
"AUT","Austria","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",61.705608,,
"AUT","Austria","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",55.59053,,
"AUT","Austria","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",48.436672,,
"AUT","Austria","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",43.521667,,
"BEL","Belgium","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2010","2010",123202,,
"BEL","Belgium","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",114249,,
"BEL","Belgium","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2010","2010",30226,,
"BEL","Belgium","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",39704,,
"BEL","Belgium","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",338636,,
"BEL","Belgium","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",330266,,
"BEL","Belgium","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",146884.02,,
"BEL","Belgium","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",142071.38,,
"BEL","Belgium","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",1.6418794,,
"BEL","Belgium","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.5153779,,
"BEL","Belgium","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2010","2010",18.199999,,
"BEL","Belgium","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",18.700001,,
