,ISO3,Country,Region,Sub-Region,Latitude,Longitude,Population,Internet Users,Internet % Of Population,Median Age,Gdp Purchasing Power Parity,Education Expenditures
0,AFG,Afghanistan,Asia,Southern Asia,33.0,65.0,34940837.0,3531770.0,10.6,19.0,69450000000.0,3.9
1,ALB,Albania,Europe,Southern Europe,41.0,20.0,3057220.0,2016516.0,66.4,33.4,36010000000.0,4.0
2,DZA,Algeria,Africa,Northern Africa,28.0,3.0,41657488.0,17291463.0,42.9,28.3,630000000000.0,0.0
3,ASM,American Samoa,Oceania,Polynesia,-14.33333333,-170.0,50826.0,17000.0,31.3,26.1,658000000.0,0.0
4,AND,Andorra,Europe,Southern Europe,42.5,1.5,85708.0,83887.0,97.9,44.9,3327000000.0,3.2
5,AGO,Angola,Africa,Middle Africa,-12.5,18.5,30355880.0,2622403.0,13.0,15.9,193600000000.0,3.5
6,AIA,Anguilla,Americas,Caribbean,18.25,-63.16666666,17422.0,13665.0,81.6,35.1,175400000.0,0.0
7,ATA,Antarctica,Polar,,-74.65,4.48,0.0,4400.0,100.0,0.0,0.0,0.0
8,ATG,Antigua And Barbuda,Americas,Caribbean,17.05,-61.8,95882.0,60000.0,65.2,32.2,2398000000.0,2.5
9,ARG,Argentina,Americas,South America,-34.0,-64.0,44694198.0,30786889.0,70.2,31.9,922100000000.0,5.6
10,ARM,Armenia,Asia,Western Asia,40.0,45.0,3038217.0,1891775.0,62.0,35.6,28340000000.0,2.8
11,ABW,Aruba,Americas,Caribbean,12.5,-69.96666666,116576.0,106309.0,93.5,39.5,4158000000.0000005,6.1
12,AUS,Australia,Oceania,Australia and New Zealand,-27.0,133.0,23470145.0,20288409.0,88.2,38.8,1248000000000.0,5.3
13,AUT,Austria,Europe,Western Europe,47.33333333,13.33333333,8793370.0,7346055.0,84.3,44.2,441000000000.0,5.5
14,AZE,Azerbaijan,Asia,Western Asia,40.5,47.5,10046516.0,7720502.0,78.2,31.7,172200000000.0,2.9
15,BHS,"Bahamas, The",Americas,Caribbean,24.25,-76.0,332634.0,261853.0,80.0,32.3,12060000000.0,0.0
16,BHR,Bahrain,Asia,Western Asia,26.0,50.55,1442659.0,1351326.0,98.0,32.5,71170000000.0,2.3
17,BGD,Bangladesh,Asia,Southern Asia,24.0,90.0,159453001.0,28499324.0,18.2,27.1,690300000000.0,1.5
18,BRB,Barbados,Americas,Caribbean,13.16666666,-59.53333333,293131.0,231883.0,79.5,38.9,5218000000.0,4.7
